,ID,DELTA_TOTAL,TREE_TOTAL,WORKERS_TOTAL,treeTime,AREA
1,C_1,187,77,5,24.7058823529412,25
2,C_2,256.000000000001,70,3,16.40625,18
3,C_3,252,115,1,27.3809523809523,12
4,C_4,215,63,4,17.5813953488372,18
5,C_5,208.999999999999,97,2,27.8468899521532,22
6,C_6,153,88,2,34.5098039215687,16
7,E_1,223,100,6,26.9058295964125,37
8,E_2,198,80,2,24.2424242424242,38
9,E_3,279,107,3,23.010752688172,31
10,E_4,180,76,7,25.3333333333333,25
11,E_5,251,104,5,24.8605577689243,19
12,E_6,255,158,2,37.1764705882353,24
