"","ID","DELTA_TOTAL","TREE_TOTAL","treeTime","Dif_m_Finca","AREAS","WORKERS_TOTAL","WORKERS_TOTAL"
"1","C_1",3.11666666666667,77,24.7058823529412,12.4968,25,3,2
"2","C_2",4.26666666666668,70,16.40625,9.7536,18,5,0
"3","C_3",4.20000000000001,115,27.3809523809523,12.8016,12,2,0
"4","C_4",3.58333333333333,63,17.5813953488372,14.3256,18,3,1
"5","C_5",3.48333333333332,97,27.8468899521532,15.3924,22,3,5
"6","C_6",2.54999999999999,88,34.5098039215687,34.1376,16,3,3
"7","E_1",3.71666666666667,100,26.9058295964125,42.3672,37,7,8
"8","E_2",3.3,80,24.2424242424242,28.956,38,2,6
"9","E_3",4.65,107,23.010752688172,21.336,31,3,8
"10","E_4",3,76,25.3333333333333,16.9164,25,8,3
"11","E_5",4.18333333333333,104,24.8605577689243,19.2024,19,8,4
"12","E_6",4.25,158,37.1764705882353,44.5008,24,2,2
